id,date,icu_level,region,lhin,critical_care_beds,critical_care_patients,vented_beds,vented_patients,suspected_covid,suspected_covid_ventilator,confirmed_positive,confirmed_negative,confirmed_positive_ventilator
136,2020-04-01,,West,3. WW,98,82,58,23,14,4,14,24,10
137,2020-04-01,,West,4. HNHB,271,204,172,33,27,6,13,26,3
138,2020-04-01,,Central,5. CW,68,49,26,33,16,11,6,4,4
139,2020-04-01,,Central,6. MH,130,113,116,51,28,21,11,5,6
140,2020-04-01,,Central,8. Central,153,140,130,88,31,19,28,14,26
141,2020-04-01,,Central,12. NSM,48,27,26,9,6,1,3,8,3
142,2020-04-01,,Toronto,9. CE,163,141,109,80,47,27,27,11,23
143,2020-04-01,,East,10. SE,103,96,57,32,15,11,4,6,2
144,2020-04-01,,East,11. Champlain,199,167,119,54,47,18,6,10,6
145,2020-04-01,,East,13. NE,102,68,53,17,14,4,0,8,0
146,2020-04-01,,North,14. NW,30,17,16,5,5,1,0,0,0
147,2020-04-01,,North,7. TC,373,291,266,100,44,20,26,48,16
148,2020-04-04,,Central,L5: CW,68,49,99,32,12,,11,,9
149,2020-04-04,,Central,L6: MH,130,95,162,66,26,,17,,15
150,2020-04-04,,Central,L8: Central,153,126,204,85,22,,34,,28
151,2020-04-04,,Central,L12: NSM,48,25,57,13,8,,3,,3
152,2020-04-04,,East,L9: CE,163,119,158,82,41,,30,,29
153,2020-04-04,,East,L10: SE,103,68,78,26,14,,4,,2
154,2020-04-04,,East,L11: Champlain,199,132,214,49,28,,15,,14
155,2020-04-04,,North,L13: NE,102,49,81,12,12,,4,,1
156,2020-04-04,,North,L14: NW,30,13,37,4,7,,0,,0
157,2020-04-04,,Toronto,L7: Toronto,373,238,344,75,51,,35,,21
158,2020-04-04,,West,L1: ESC,87,50,108,30,24,,11,,10
159,2020-04-04,,West,L2: SW,187,123,114,23,26,,10,,4
160,2020-04-04,,West,L3: WW,98,64,67,27,14,,15,,11
161,2020-04-04,,West,L4: HNHB,271,158,248,38,25,,11,,7
162,2020-04-05,,Central,L5: CW,68,46,99,16,11,,13,,5
163,2020-04-05,,Central,L6: MH,130,97,162,67,28,,20,,18
164,2020-04-05,,Central,L8: Central,153,127,204,87,25,,37,,32
165,2020-04-05,,Central,L12: NSM,48,23,57,12,6,,3,,3
166,2020-04-05,,East,L9: CE,163,114,158,70,36,,33,,28
167,2020-04-05,,East,L10: SE,103,66,78,24,8,,5,,3
168,2020-04-05,,East,L11: Champlain,199,120,214,47,34,,15,,14
169,2020-04-05,,North,L13: NE,102,41,81,9,10,,3,,1
170,2020-04-05,,North,L14: NW,30,10,37,3,7,,0,,0
171,2020-04-05,,Toronto,L7: Toronto,373,229,344,82,46,,39,,24
172,2020-04-05,,West,L1: ESC,87,49,108,25,21,,9,,8
173,2020-04-05,,West,L2: SW,187,119,114,20,26,,11,,5
174,2020-04-05,,West,L3: WW,98,67,67,29,15,,17,,12
175,2020-04-05,,West,L4: HNHB,271,142,248,36,24,,11,,7
176,2020-04-06,,Central,L5: CW,68,49,99,37,14,,14,,12
177,2020-04-06,,Central,L6: MH,130,98,162,65,24,,23,,20
178,2020-04-06,,Central,L8: Central,153,125,204,84,21,,43,,33
179,2020-04-06,,Central,L12: NSM,48,26,57,10,3,,3,,3
180,2020-04-06,,East,L9: CE,163,113,158,76,28,,34,,29
181,2020-04-06,,East,L10: SE,103,61,78,24,7,,4,,3
182,2020-04-06,,East,L11: Champlain,199,122,214,47,22,,15,,14
183,2020-04-06,,North,L13: NE,102,51,81,13,12,,3,,1
184,2020-04-06,,North,L14: NW,30,12,37,2,4,,0,,0
185,2020-04-06,,Toronto,L7: Toronto,373,238,344,96,39,,40,,30
186,2020-04-06,,West,L1: ESC,87,56,108,26,16,,11,,10
187,2020-04-06,,West,L2: SW,187,112,114,38,28,,10,,8
188,2020-04-06,,West,L3: WW,98,65,67,29,11,,20,,14
189,2020-04-06,,West,L4: HNHB,271,161,248,45,34,,13,,10
190,2020-04-08,,Central,L5: CW,68,50,99,34,11,,14,,12
191,2020-04-08,,Central,L6: MH,130,104,162,64,18,,27,,23
192,2020-04-08,,Central,L8: Central,153,121,204,85,11,,48,,36
193,2020-04-08,,Central,L12: NSM,48,31,57,10,5,,3,,2
194,2020-04-08,,East,L9: CE,163,116,158,79,34,,36,,32
195,2020-04-08,,East,L10: SE,103,66,78,30,12,,8,,7
196,2020-04-08,,East,L11: Champlain,199,119,214,44,24,,19,,13
197,2020-04-08,,North,L13: NE,102,46,81,8,15,,4,,1
198,2020-04-08,,North,L14: NW,30,11,37,1,1,,1,,0
199,2020-04-08,,Toronto,L7: Toronto,373,252,344,134,52,,49,,44
200,2020-04-08,,West,L1: ESC,87,54,108,25,15,,13,,10
201,2020-04-08,,West,L2: SW,187,111,114,41,32,,10,,8
202,2020-04-08,,West,L3: WW,98,64,67,29,10,,18,,14
203,2020-04-08,,West,L4: HNHB,271,153,248,51,30,,14,,12
204,2020-04-08,,Central,L5: CW,68,50,99,34,11,,14,,12
205,2020-04-08,,Central,L6: MH,130,104,162,64,18,,27,,23
218,2020-04-09,,Central,L5: CW,68,49,105,36,12,,14,,12
219,2020-04-09,,Central,L6: MH,130,107,207,69,21,,25,,20
220,2020-04-09,,Central,L8: Central,153,119,247,88,12,,47,,39
221,2020-04-09,,Central,L12: NSM,48,22,71,8,5,,2,,2
222,2020-04-09,,East,L9: CE,163,121,186,80,37,,34,,30
223,2020-04-09,,East,L10: SE,103,64,94,33,11,,8,,8
224,2020-04-09,,East,L11: Champlain,199,132,304,48,23,,21,,18
225,2020-04-09,,North,L13: NE,102,49,122,11,15,,4,,1
226,2020-04-09,,North,L14: NW,30,13,40,0,2,,1,,0
227,2020-04-09,,Toronto,L7: Toronto,373,257,474,121,52,,48,,44
228,2020-04-09,,West,L1: ESC,87,57,136,22,18,,13,,8
229,2020-04-09,,West,L2: SW,187,117,305,40,34,,10,,8
230,2020-04-09,,West,L3: WW,98,58,135,27,10,,19,,15
231,2020-04-09,,West,L4: HNHB,271,156,385,50,24,,14,,12
232,2020-04-10,,Central,L5: CW,68,51,105,36,10,,17,,14
233,2020-04-10,,Central,L6: MH,130,108,207,63,20,,26,,20
234,2020-04-10,,Central,L8: Central,153,120,247,90,12,,45,,41
235,2020-04-10,,Central,L12: NSM,48,23,71,9,5,,2,,2
236,2020-04-10,,East,L9: CE,163,123,186,78,39,,33,,27
237,2020-04-10,,East,L10: SE,103,72,94,35,14,,8,,8
238,2020-04-10,,East,L11: Champlain,199,128,304,44,25,,21,,19
239,2020-04-10,,North,L13: NE,102,54,122,13,13,,3,,2
240,2020-04-10,,North,L14: NW,30,10,40,1,0,,1,,0
241,2020-04-10,,Toronto,L7: Toronto,373,256,474,120,56,,48,,39
242,2020-04-10,,West,L1: ESC,87,56,136,29,18,,12,,11
243,2020-04-10,,West,L2: SW,187,110,305,24,36,,10,,4
244,2020-04-10,,West,L3: WW,98,54,135,29,10,,17,,17
245,2020-04-10,,West,L4: HNHB,271,143,385,48,23,,14,,11
246,2020-04-11,,Central,L5: CW,68,49,105,14,11,,17,,4
247,2020-04-11,,Central,L6: MH,130,104,207,66,13,,28,,23
248,2020-04-11,,Central,L8: Central,153,128,247,91,18,,46,,41
249,2020-04-11,,Central,L12: NSM,48,24,71,11,6,,2,,2
250,2020-04-11,,East,L9: CE,163,118,186,73,40,,32,,24
251,2020-04-11,,East,L10: SE,103,65,94,37,11,,6,,6
252,2020-04-11,,East,L11: Champlain,199,126,304,34,26,,22,,15
253,2020-04-11,,North,L13: NE,102,58,122,12,10,,3,,1
254,2020-04-11,,North,L14: NW,30,11,40,1,1,,1,,0
255,2020-04-11,,Toronto,L7: Toronto,373,247,474,115,51,,49,,37
256,2020-04-11,,West,L1: ESC,87,61,136,28,21,,12,,10
257,2020-04-11,,West,L2: SW,187,103,305,22,34,,11,,9
258,2020-04-11,,West,L3: WW,98,54,135,28,9,,19,,17
259,2020-04-11,,West,L4: HNHB,271,146,385,43,19,,13,,7
260,2020-04-12,,Central,L5: CW,68,51,105,36,8,,20,,16
261,2020-04-12,,Central,L6: MH,130,105,207,72,19,,25,,22
262,2020-04-12,,Central,L8: Central,153,129,247,84,22,,45,,38
263,2020-04-12,,Central,L12: NSM,48,23,71,10,2,,2,,2
264,2020-04-12,,East,L9: CE,163,115,186,69,39,,29,,22
265,2020-04-12,,East,L10: SE,103,71,94,38,11,,5,,5
266,2020-04-12,,East,L11: Champlain,199,125,304,42,31,,22,,19
267,2020-04-12,,North,L13: NE,102,57,122,14,10,,3,,1
268,2020-04-12,,North,L14: NW,30,13,40,1,3,,1,,0
269,2020-04-12,,Toronto,L7: Toronto,373,241,474,105,59,,49,,35
270,2020-04-12,,West,L1: ESC,87,56,136,27,16,,16,,14
271,2020-04-12,,West,L2: SW,187,105,305,13,37,,11,,4
272,2020-04-12,,West,L3: WW,98,57,135,29,11,,19,,17
273,2020-04-12,,West,L4: HNHB,271,145,385,43,15,,16,,8
274,2020-04-13,,Central,L5: CW,68,55,105,30,10,,19,,16
275,2020-04-13,,Central,L6: MH,130,108,207,75,19,,26,,19
276,2020-04-13,,Central,L8: Central,153,129,247,88,21,,42,,36
277,2020-04-13,,Central,L12: NSM,48,25,71,8,5,,2,,2
278,2020-04-13,,East,L9: CE,163,114,186,58,36,,30,,19
279,2020-04-13,,East,L10: SE,103,71,94,32,14,,4,,4
280,2020-04-13,,East,L11: Champlain,199,125,304,42,25,,24,,19
281,2020-04-13,,North,L13: NE,102,58,122,13,14,,2,,1
282,2020-04-13,,North,L14: NW,30,14,40,3,3,,1,,0
283,2020-04-13,,Toronto,L7: Toronto,373,250,474,121,65,,46,,41
284,2020-04-13,,West,L1: ESC,87,54,136,25,14,,14,,14
285,2020-04-13,,West,L2: SW,187,109,305,12,30,,11,,3
286,2020-04-13,,West,L3: WW,98,58,135,27,7,,19,,17
287,2020-04-13,,West,L4: HNHB,271,155,385,38,19,,15,,8
402,2020-04-18,,East,L11: Champlain,199,118,312,40,23,,14,,10
403,2020-04-18,,North,L13: NE,102,53,132,11,18,,2,,2
404,2020-04-18,,North,L14: NW,30,13,51,5,3,,1,,1
335,2020-04-16,,West,L1: ESC,87,44,136,21,10,,14,,13
336,2020-04-16,,West,L2: SW,187,113,305,33,18,,11,,11
337,2020-04-16,,West,L3: WW,98,49,135,25,8,,16,,12
338,2020-04-16,,West,L4: HNHB,271,167,385,41,25,,13,,6
339,2020-04-16,,Central,L5: CW,68,53,105,35,14,,20,,19
340,2020-04-16,,Central,L6: MH,130,103,207,65,18,,23,,16
341,2020-04-16,,Central,L8: Central,153,130,247,88,25,,41,,35
342,2020-04-16,,Central,L12: NSM,48,33,71,11,7,,2,,2
343,2020-04-16,,Toronto,L7: Toronto,373,253,474,131,44,,57,,50
344,2020-04-16,,East,L9: CE,163,126,186,63,46,,26,,18
345,2020-04-16,,East,L10: SE,103,65,94,28,13,,4,,3
346,2020-04-16,,East,L11: Champlain,199,122,304,44,32,,15,,12
347,2020-04-16,,North,L13: NE,102,52,122,15,18,,2,,2
348,2020-04-16,,North,L14: NW,30,11,40,3,2,,1,,1
377,2020-04-15,,West,L1: ESC,87,46,136,22,6,,16,,15
378,2020-04-15,,West,L2: SW,187,114,305,32,27,,12,,11
379,2020-04-15,,West,L3: WW,98,49,135,23,6,,17,,15
380,2020-04-15,,West,L4: HNHB,271,156,385,43,20,,14,,7
381,2020-04-15,,Central,L5: CW,68,53,105,31,12,,17,,14
382,2020-04-15,,Central,L6: MH,130,111,207,66,20,,26,,17
383,2020-04-15,,Central,L8: Central,153,128,247,82,20,,41,,35
384,2020-04-15,,Central,L12: NSM,48,36,71,8,8,,2,,1
385,2020-04-15,,Toronto,L7: Toronto,373,250,474,122,45,,53,,45
386,2020-04-15,,East,L9: CE,163,112,186,67,40,,24,,20
387,2020-04-15,,East,L10: SE,103,64,94,32,17,,4,,4
388,2020-04-15,,East,L11: Champlain,199,128,304,42,37,,19,,14
389,2020-04-15,,North,L13: NE,102,60,122,17,18,,2,,1
390,2020-04-15,,North,L14: NW,30,11,40,3,3,,1,,1
391,2020-04-18,,West,L1: ESC,87,51,145,23,9,,15,,13
392,2020-04-18,,West,L2: SW,187,114,202,26,22,,13,,10
393,2020-04-18,,West,L3: WW,98,46,123,24,10,,15,,13
394,2020-04-18,,West,L4: HNHB,271,152,391,39,30,,9,,5
395,2020-04-18,,Central,L5: CW,68,54,99,35,12,,21,,19
396,2020-04-18,,Central,L6: MH,130,96,186,55,21,,24,,18
397,2020-04-18,,Central,L8: Central,153,136,274,88,28,,41,,34
398,2020-04-18,,Central,L12: NSM,48,31,79,10,6,,2,,2
399,2020-04-18,,Toronto,L7: Toronto,373,246,472,111,46,,58,,47
400,2020-04-18,,East,L9: CE,163,114,232,62,36,,28,,19
401,2020-04-18,,East,L10: SE,103,66,121,27,14,,4,,3
405,2020-04-22,,West,L1: ESC,87,48,145,18,11,,9,,7
406,2020-04-22,,West,L2: SW,187,117,202,41,21,,9,,8
407,2020-04-22,,West,L3: WW,98,76,123,33,24,,18,,17
408,2020-04-22,,West,L4: HNHB,271,178,391,40,32,,9,,6
409,2020-04-22,,Central,L5: CW,68,54,99,29,14,,16,,12
410,2020-04-22,,Central,L6: MH,130,110,186,71,21,,24,,21
411,2020-04-22,,Central,L8: Central,153,135,274,98,32,,43,,32
412,2020-04-22,,Central,L12: NSM,48,32,79,11,8,,2,,2
413,2020-04-22,,Toronto,L7: Toronto,373,274,472,133,69,,64,,53
414,2020-04-22,,East,L9: CE,163,106,232,45,28,,21,,15
415,2020-04-22,,East,L10: SE,103,73,121,28,15,,2,,1
416,2020-04-22,,East,L11: Champlain,199,130,312,45,24,,12,,7
417,2020-04-22,,North,L13: NE,102,51,132,16,16,,2,,2
418,2020-04-22,,North,L14: NW,30,12,51,2,0,,2,,2
419,2020-04-23,,West,L1: ESC,87,47,145,13,12,,8,,5
420,2020-04-23,,West,L2: SW,187,122,202,43,21,,8,,8
421,2020-04-23,,West,L3: WW,98,79,123,35,19,,20,,18
422,2020-04-23,,West,L4: HNHB,271,167,391,57,29,,11,,8
423,2020-04-23,,Central,L5: CW,68,54,99,33,13,,18,,15
424,2020-04-23,,Central,L6: MH,130,107,186,61,19,,24,,18
425,2020-04-23,,Central,L8: Central,153,135,274,90,33,,44,,32
426,2020-04-23,,Central,L12: NSM,48,32,79,14,9,,2,,2
427,2020-04-23,,Toronto,L7: Toronto,373,273,472,139,59,,72,,59
428,2020-04-23,,East,L9: CE,163,105,232,51,31,,19,,17
429,2020-04-23,,East,L10: SE,103,75,121,23,15,,0,,0
430,2020-04-23,,East,L11: Champlain,199,142,312,45,23,,14,,8
431,2020-04-23,,North,L13: NE,102,53,132,21,12,,2,,2
432,2020-04-23,,North,L14: NW,30,14,51,2,4,,1,,1
