index,facility_name,source_facility_type,odhf_facility_type,provider,unit,street_no,street_name,postal_code,city,province,source_format_str_address,csdname,csduid,pruid,latitude,longitude,geometry
28,bethany care society bethany harvest hills,long term care,Nursing and residential care facilities,Canadian Institute for Health Information,,,,T3K4Y1,calgary,ab,,Calgary,,48,,,
29,bethany care society bethany riverview,long term care,Nursing and residential care facilities,Canadian Institute for Health Information,,,,T2B2W6,calgary,ab,,Calgary,,48,,,
30,bethany care society bethany sylvan lake,long term care,Nursing and residential care facilities,Canadian Institute for Health Information,,,,T4S2M3,sylvan lake,ab,,Sylvan Lake,,48,,,
31,big country health centre,general,Hospitals,Public Health Agency of Canada,,312,3 ave e,T0J2J0,oyen,ab,312 - 3rd ave. e. oyen ab t0j 2j0,McLennan,4819042,48,55.710472,-116.914222,POINT (-116.914222 55.710472)
32,big country hospital,,Hospitals,Province of Alberta,,312,3 avenue e,T0J2J0,oyen,ab,"312 3rd avenue e., oyen, alberta, t0j 2j0",Oyen,4804014,48,51.351585,-110.478813,POINT (-110.478813 51.351585)
33,bonnyville community cancer centre,,Hospitals,Province of Alberta,,,,T9N2J7,bonnyville,ab,"bonnyville, alberta, t9n 2j7",Bonnyville,4812009,48,54.26373,-110.7393,POINT (-110.7393 54.26373)
34,bonnyville health centre,general,Hospitals,Public Health Agency of Canada,,5001,lakeshore dr,T9N2J7,bonnyville,ab,5001 lakeshore dr. bonnyville ab t9n 2j7,Bonnyville,4812009,48,54.2637533,-110.7414916,POINT (-110.7414916 54.2637533)
35,bonnyville healthcare centre,,Ambulatory health care services,Province of Alberta,,5001,lakeshore drive,T9N2J7,bonnyville,ab,"5001 lakeshore drive, bonnyville, alberta, t9n 2j7",Bonnyville,4812009,48,54.26373,-110.7393,POINT (-110.7393 54.26373)
36,bow island health centre,general,Hospitals,Public Health Agency of Canada,,938,centre st,T0K0G0,bow island,ab,938 centre st. bow island ab t0k 0g0,Bow Island,4801014,48,49.8655484,-111.3793987,POINT (-111.3793987 49.8655484)
37,bow valley community cancer centre,,Hospitals,Province of Alberta,,1100,hospital place,T1W1N2,canmore,ab,"1100 hospital place canmore, alberta, t1w 1n2",Canmore,4815023,48,51.092455,-115.35172,POINT (-115.35172 51.092455)
38,boyle healthcare centre,,Hospitals,Canadian Institute for Health Information,,5004,lakeview road,T0A0M0,boyle,ab,5004 lakeview road boyle ab t0a0m0 canada,Boyle,4813046,48,54.588366,-112.801974,POINT (-112.801974 54.588366)
39,boyle mccauley health centre,general,Hospitals,Public Health Agency of Canada,,10628,96 st,T0A0M0,edmonton,ab,10628 - 96 st. edmonton ab t0a 0m0,Edmonton,4811061,48,53.55136,-113.486,POINT (-113.486 53.55136)
40,breton health centre,extended care,Hospitals,Public Health Agency of Canada,,4919,49 ave,T0C0P0,breton,ab,4919 - 49 ave. breton ab t0c 0p0,Breton,4811026,48,53.1092291,-114.4712943,POINT (-114.4712943 53.1092291)
41,brooks health centre,general,Hospitals,Public Health Agency of Canada,,440,3 st e,T1R1B3,brooks,ab,440 - 3rd st. e. brooks ab t1r 1b3,Brooks,4802034,48,50.5676564,-111.890977,POINT (-111.890977 50.5676564)
42,calgary retina consultants,active acute hospital,Ambulatory health care services,Canadian Institute for Health Information,,,,T3E7M8,calgary,ab,,Calgary,,48,,,
43,camrose community cancer centre,,Hospitals,Province of Alberta,,4607,53 street,T4V1Y5,camrose,ab,"4607 53 street camrose, alberta, t4v 1y5",Camrose,4810011,48,53.014198,-112.830093,POINT (-112.830093 53.014198)
44,canmore general hospital,general,Hospitals,Public Health Agency of Canada,,1100,hospital place,T1W1N2,canmore,ab,1100 hospital place canmore ab t1w 1n2,Canmore,4815023,48,51.09301,-115.350651,POINT (-115.350651 51.09301)
45,capitalcare dickinsfield,long term care,Nursing and residential care facilities,Canadian Institute for Health Information,,,,T5E6C6,edmonton,ab,,Edmonton,,48,,,
46,capitalcare grandview,"active acute hospital, long term care",Hospitals,Canadian Institute for Health Information,,,,T6H3V1,edmonton,ab,,Edmonton,,48,,,
47,capitalcare lynnwood,long term care,Nursing and residential care facilities,Canadian Institute for Health Information,,,,T5R2R8,edmonton,ab,,Edmonton,,48,,,
48,capitalcare norwood,"active acute hospital, long term care",Hospitals,Canadian Institute for Health Information,,,,T5G3A2,edmonton,ab,,Edmonton,,48,,,
49,capitalcare strathcona,long term care,Nursing and residential care facilities,Canadian Institute for Health Information,,,,T8H1V3,sherwood park,ab,,,,48,,,
50,capitalcare the dianne and irving kipnes centre for veterans,long term care,Nursing and residential care facilities,Canadian Institute for Health Information,,,,T5E6M8,edmonton,ab,,Edmonton,,48,,,
51,cardston health centre,general,Hospitals,Public Health Agency of Canada,,144,2 st w,T0K0K0,cardston,ab,144 - 2nd st. w. cardston ab t0k 0k0,Cardston,4803004,48,49.201947,-113.305761,POINT (-113.305761 49.201947)
52,carewest colonel belcher,"active acute hospital, long term care",Nursing and residential care facilities,Canadian Institute for Health Information,,,,T3B5Y8,calgary,ab,,Calgary,,48,,,
53,carewest dr. vernon fanning centre,"active acute hospital, long term care",Nursing and residential care facilities,Canadian Institute for Health Information,,,,T2E6V7,calgary,ab,,Calgary,,48,,,
54,carewest garrison green,long term care,Nursing and residential care facilities,Canadian Institute for Health Information,,,,T3E6Z5,calgary,ab,,Calgary,,48,,,
55,carewest george boyack,long term care,Nursing and residential care facilities,Canadian Institute for Health Information,,,,T2E0A5,calgary,ab,,Calgary,,48,,,
56,carewest glenmore park,active acute hospital,Nursing and residential care facilities,Canadian Institute for Health Information,,,,T2V1P8,calgary,ab,,Calgary,,48,,,
57,carewest rouleau manor,long term care,Nursing and residential care facilities,Canadian Institute for Health Information,,,,T2S3C3,calgary,ab,,Calgary,,48,,,
58,carewest royal park,long term care,Nursing and residential care facilities,Canadian Institute for Health Information,,,,T3E7J8,calgary,ab,,Calgary,,48,,,
59,carewest sarcee,"active acute hospital, long term care",Nursing and residential care facilities,Canadian Institute for Health Information,,,,T3E4T4,calgary,ab,,Calgary,,48,,,
60,carewest signal pointe,long term care,Nursing and residential care facilities,Canadian Institute for Health Information,,,,T3H4M3,calgary,ab,,Calgary,,48,,,
61,centennial centre for mental health and brain injury,psychiatric,Hospitals,Public Health Agency of Canada,,,,T4J1R8,ponoka,ab,p.o. box 1000 ponoka ab t4j 1r8,Ponoka County,4808038,48,52.648905,-113.575936,POINT (-113.575936 52.648905)
62,central alberta cancer centre,,Hospitals,Province of Alberta,3942,50a,avenue,T4N4E7,red deer,ab,"3942-50a avenue, red deer, alberta, t4n 4e7",Red Deer,4808011,48,52.2606267,-113.8183868,POINT (-113.8183868 52.2606267)
63,central peace health complex,general,Hospitals,Public Health Agency of Canada,,5010,45 ave,T0H3G0,spirit river,ab,5010 - 45 ave. spirit river ab t0h 3g0,Spirit River,4819058,48,55.776981,-118.838754,POINT (-118.838754 55.776981)
64,chantelle management ltd. edith cavell care centre,long term care,Nursing and residential care facilities,Canadian Institute for Health Information,,,,T1J0V6,lethbridge,ab,,Lethbridge,,48,,,
65,chantelle management ltd. grande prairie care centre,long term care,Nursing and residential care facilities,Canadian Institute for Health Information,,,,T8V3A2,grande prairie,ab,,Grande Prairie,,48,,,
66,chinook regional hospital,general,Hospitals,Public Health Agency of Canada,,960,19 st s,T1J1W5,lethbridge,ab,960 - 19th st. s. lethbridge ab t1j 1w5,Lethbridge,4802012,48,49.68535,-112.8151851,POINT (-112.8151851 49.68535)
67,claresholm centre for mental health and addictions,active acute hospital,Hospitals,Canadian Institute for Health Information,,,,T0L0T0,claresholm,ab,,Claresholm,,48,,,
68,claresholm general hospital,general,Hospitals,Public Health Agency of Canada,,221,43 ave w,T0L0T0,claresholm,ab,221 - 43 ave. w. claresholm ab t0l 0t0,Claresholm,4803022,48,50.018656,-113.582623,POINT (-113.582623 50.018656)
69,coaldale health centre,general,Hospitals,Public Health Agency of Canada,,2100,11 st,T1M1L2,coaldale,ab,2100 - 11 st. coaldale ab t1m 1l2,Coaldale,4802019,48,49.725825,-112.607294,POINT (-112.607294 49.725825)
70,cochrane community health centre,active acute hospital,Hospitals,Canadian Institute for Health Information,,,,T4C0S4,cochrane,ab,,Cochrane,,48,,,
71,cold lake healthcare centre,general,Hospitals,Public Health Agency of Canada,,314,25 st,T9M1G6,cold lake,ab,314 - 25th st. cold lake ab t9m 1g6,Cold Lake,4812002,48,54.4658735,-110.199018,POINT (-110.199018 54.4658735)
72,consort hospital,general,Hospitals,Public Health Agency of Canada,,5402,52 ave,T0C1B0,consort,ab,5402 - 52 ave. consort ab t0c 1b0,Consort,4804022,48,52.0098399,-110.7820183,POINT (-110.7820183 52.0098399)
73,consort hospital and care centre,,Hospitals,Province of Alberta,,5402,52 avenue,T0C1B0,consort,ab,"5402 52 avenue, consort, alberta, t0c 1b0",Consort,4804022,48,52.0120048,-110.7717888,POINT (-110.7717888 52.0120048)
74,contours oral surgery,active acute hospital,Hospitals,Canadian Institute for Health Information,,,,T6W2Z4,edmonton,ab,,Edmonton,,48,,,
75,coronation hospital and care centre,,Hospitals,Province of Alberta,,5000,municipal road,T0C1C0,coronation,ab,"5000 municipal road, coronation, alberta, t0c 1c0",Coronation,4807012,48,52.0964213,-111.4597738,POINT (-111.4597738 52.0964213)
76,coronation hspital & care centre,general,Hospitals,Public Health Agency of Canada,,5000,municipal rd,T0C1C0,coronation,ab,5000 municipal rd. coronation ab t0c 1c0,Coronation,4807012,48,52.0962638,-111.459203,POINT (-111.459203 52.0962638)
77,covenant care foyer lacombe,long term care,Nursing and residential care facilities,Canadian Institute for Health Information,,,,T8N1K1,st albert,ab,,St. Albert,,48,,,
78,covenant care villa marie,long term care,Nursing and residential care facilities,Canadian Institute for Health Information,,,,T4P0S3,red deer,ab,,Red Deer,,48,,,
79,covenant health bonnyville health centre,,Hospitals,Canadian Institute for Health Information,,5001,lakeshore drive,T9N1M5,bonnyville,ab,5001 lakeshore drive bonnyville ab t9n 1m5 canada,Bonnyville,4812009,48,54.263728,-110.739296,POINT (-110.739296 54.263728)
80,covenant health bonnyville healthcare centre,"active acute hospital, long term care",Hospitals,Canadian Institute for Health Information,,,,T9N2J7,bonnyville,ab,,Bonnyville,,48,,,
81,covenant health edmonton general continuing care centre,"active acute hospital, long term care",Hospitals,Canadian Institute for Health Information,,,,T5K0L4,edmonton,ab,,Edmonton,,48,,,
82,covenant health grey nuns community hospital,,Hospitals,Canadian Institute for Health Information,,1100,youville drive w,T6L5X8,edmonton,ab,1100 youville drive west edmonton ab t6l 5x8 canada,Edmonton,4811061,48,53.462682,-113.432304,POINT (-113.432304 53.462682)
83,covenant health killam health care centre,,Hospitals,Canadian Institute for Health Information,,5203,49 avenue,T0B2L0,killam,ab,5203 49 avenue killam ab t0b 2l0 canada,Killam,4807042,48,52.788935,-111.859551,POINT (-111.859551 52.788935)
84,covenant health mary immaculate care centre,"active acute hospital, long term care",Hospitals,Canadian Institute for Health Information,,,,T0B3H0,mundare,ab,,Mundare,,48,,,
85,covenant health mineral springs hospital,,Hospitals,Canadian Institute for Health Information,,305,lynx street,T1L1B8,banff,ab,305 lynx street banff ab t1l 1b8 canada,Banff,4815035,48,51.17925,-115.574865,POINT (-115.574865 51.17925)
86,covenant health misericordia community hospital,,Hospitals,Canadian Institute for Health Information,,16940,87 avenue,T5R4H5,edmonton,ab,16940 - 87th avenue edmonton ab t5r 4h5 canada,Edmonton,4811061,48,53.522149,-113.613021,POINT (-113.613021 53.522149)
87,covenant health our lady of the rosary hospital,general,Hospitals,Public Health Agency of Canada,,5402,47 st,T0C0X0,castor,ab,5402 - 47 st. castor ab t0c 0x0,Castor,4807014,48,52.2234403,-111.9068616,POINT (-111.9068616 52.2234403)
88,covenant health st. joseph's general hospital [ab],,Hospitals,Canadian Institute for Health Information,,5241,43 street,T9C1C6,vegreville,ab,5241 43 street vegreville ab t9c 1c6 canada,Vegreville,4810028,48,53.494418,-112.033619,POINT (-112.033619 53.494418)
89,covenant health st. josephs auxiliary hospital,"active acute hospital, long term care",Hospitals,Canadian Institute for Health Information,,,,T6J6W1,edmonton,ab,,Edmonton,,48,,,
90,covenant health st. mary's hospital [camrose],,Hospitals,Canadian Institute for Health Information,,4607,53 street,T4V1Y5,camrose,ab,4607 - 53rd street camrose ab t4v 1y5 canada,Camrose,4810011,48,53.013725,-112.830994,POINT (-112.830994 53.013725)
91,covenant health st. marys health care centre,"active acute hospital, long term care",Hospitals,Canadian Institute for Health Information,,,,T0M2C0,trochu,ab,,Trochu,,48,,,
92,covenant health st. michaels health centre,"active acute hospital, long term care",Hospitals,Canadian Institute for Health Information,,,,T1J4V5,lethbridge,ab,,Lethbridge,,48,,,
93,covenant health villa caritas,active acute hospital,Hospitals,Canadian Institute for Health Information,,,,T5R0A4,edmonton,ab,,Edmonton,,48,,,
94,covenant health youville home,long term care,Nursing and residential care facilities,Canadian Institute for Health Information,,,,T8N1K1,st albert,ab,,St. Albert,,48,,,
95,cross cancer institute,cancer,Hospitals,Public Health Agency of Canada,,11560,university ave,T6G1Z2,edmonton,ab,11560 university ave. edmonton ab t6g 1z2,Edmonton,4811061,48,53.5182625,-113.5310786,POINT (-113.5310786 53.5182625)
96,crowsnest pass health centre,general,Hospitals,Public Health Agency of Canada,,2001,107 st,T0K0E0,blairmore,ab,2001 - 107 st. blairmore ab t0k 0e0,Crowsnest Pass,4815007,48,49.6131739,-114.4736247,POINT (-114.4736247 49.6131739)
97,david b. climenhaga professional corporation,active acute hospital,Ambulatory health care services,Canadian Institute for Health Information,,,,T5J3S9,edmonton,ab,,Edmonton,,48,,,
98,daysland health centre,general,Hospitals,Public Health Agency of Canada,,5920,51 ave,T0B1A0,daysland,ab,5920 - 51 ave. daysland ab t0b 1a0,Daysland,4807039,48,52.868425,-112.272521,POINT (-112.272521 52.868425)
99,dental service group,active acute hospital,Hospitals,Canadian Institute for Health Information,,,,T5M0H4,edmonton,ab,,Edmonton,,48,,,
100,devon general hospital,general,Hospitals,Public Health Agency of Canada,,101,erie st s,T9G1A6,devon,ab,101 erie st. s. devon ab t9g 1a6,Devon,4811018,48,53.351493,-113.730785,POINT (-113.730785 53.351493)
101,didsbury district health services,general,Hospitals,Public Health Agency of Canada,,1210,20 ave,T0M0W0,didsbury,ab,1210 - 20th ave. didsbury ab t0m 0w0,Didsbury,4806032,48,51.661795,-114.123674,POINT (-114.123674 51.661795)
102,dr. bryan murray professional corporation,active acute hospital,Hospitals,Canadian Institute for Health Information,,,,T1J2B9,lethbridge,ab,,Lethbridge,,48,,,
103,dr. cooke extended care centre,,Nursing and residential care facilities,Saskatchewan Health Authorities,,3915,56 avenue,T9V1N9,lloydminster,ab,"3915 56 avenue lloydminster, ab t9v 1n9",Lloydminster (Part),4810039,48,53.273049,-110.019164,POINT (-110.019164 53.273049)
104,dr. w. r. keir - barrhead continuing care centre,long term care,Nursing and residential care facilities,Canadian Institute for Health Information,,,,T7N1L2,barrhead,ab,,Barrhead,,48,,,
105,drayton valley community cancer centre,,Hospitals,Province of Alberta,,4550,madsen avenue,T7A1N8,drayton valley,ab,"4550 madsen avenue, drayton valley, alberta, t7a 1n8",Drayton Valley,4811031,48,53.212021,-114.969841,POINT (-114.969841 53.212021)
106,drayton valley hospital & care centre,general,Hospitals,Public Health Agency of Canada,,4550,madsen ave,T7A1N8,drayton valley,ab,4550 madsen ave. drayton valley ab t7a 1n8,Drayton Valley,4811031,48,53.211841,-114.969193,POINT (-114.969193 53.211841)
107,drumheller community cancer centre,,Hospitals,Province of Alberta,,351,9 street nw,T0J0Y1,drumheller,ab,"351 9th street nw drumheller, alberta, t0j 0y1",Drumheller,4805026,48,51.470875,-112.745003,POINT (-112.745003 51.470875)
108,drumheller health centre,general,Hospitals,Public Health Agency of Canada,,351,9 st nw,T0J0Y1,drumheller,ab,351 - 9th st. n.w. drumheller ab t0j 0y1,Drumheller,4805026,48,51.4698073,-112.7259344,POINT (-112.7259344 51.4698073)
109,east edmonton health centre,active acute hospital,Hospitals,Canadian Institute for Health Information,,,,T5B0C2,edmonton,ab,,Edmonton,,48,,,
110,edmonton chinatown care centre,long term care,Nursing and residential care facilities,Canadian Institute for Health Information,,,,T5H0G2,edmonton,ab,,Edmonton,,48,,,
111,edson healthcare centre,general,Hospitals,Public Health Agency of Canada,,4716,5 ave,T7E1S8,edson,ab,4716 - 5th ave. edson ab t7e 1s8,Edson,4814024,48,53.59182,-116.407,POINT (-116.407 53.59182)
112,elk point healthcare centre,general,Hospitals,Public Health Agency of Canada,,5310,50 ave,T0A1A0,elk point,ab,5310 - 50 ave. elk point ab t0a 1a0,Elk Point,4812016,48,53.8969745,-110.9058049,POINT (-110.9058049 53.8969745)
113,extendicare athabasca,long term care,Nursing and residential care facilities,Canadian Institute for Health Information,,,,T9S1K4,athabasca,ab,,Athabasca,,48,,,
114,extendicare bonnyville,long term care,Nursing and residential care facilities,Canadian Institute for Health Information,,,,T9N2E8,bonnyville,ab,,Bonnyville,,48,,,
115,extendicare cedars villa,long term care,Nursing and residential care facilities,Canadian Institute for Health Information,,,,T3C0E7,calgary,ab,,Calgary,,48,,,
116,extendicare eaux claires,long term care,Nursing and residential care facilities,Canadian Institute for Health Information,,,,T5Z0G7,edmonton,ab,,Edmonton,,48,,,
117,extendicare fort macleod,long term care,Nursing and residential care facilities,Canadian Institute for Health Information,,,,T0L0Z0,fort macleod,ab,,Fort Macleod,,48,,,
118,extendicare hillcrest,long term care,Nursing and residential care facilities,Canadian Institute for Health Information,,,,T2N1C1,calgary,ab,,Calgary,,48,,,
119,extendicare holyrood,long term care,Nursing and residential care facilities,Canadian Institute for Health Information,,,,T6C2T1,edmonton,ab,,Edmonton,,48,,,
120,extendicare leduc,long term care,Nursing and residential care facilities,Canadian Institute for Health Information,,,,T9E6K6,leduc,ab,,Leduc,,48,,,
121,extendicare mayerthorpe,long term care,Nursing and residential care facilities,Canadian Institute for Health Information,,,,T0E1N0,mayerthorpe,ab,,Mayerthorpe,,48,,,
122,extendicare michener hill,long term care,Nursing and residential care facilities,Canadian Institute for Health Information,,,,T4P0M1,red deer,ab,,Red Deer,,48,,,
123,extendicare st paul,long term care,Nursing and residential care facilities,Canadian Institute for Health Information,,,,T0A3A0,st paul,ab,,St. Paul,,48,,,
124,extendicare viking,long term care,Nursing and residential care facilities,Canadian Institute for Health Information,,,,T0B4N0,viking,ab,,Viking,,48,,,
125,extendicare vulcan,long term care,Nursing and residential care facilities,Canadian Institute for Health Information,,,,T0L2B0,vulcan,ab,,Vulcan,,48,,,
126,eye q premium laser,active acute hospital,Ambulatory health care services,Canadian Institute for Health Information,,,,T5N1R8,edmonton,ab,,Edmonton,,48,,,
127,fairview health complex,general,Hospitals,Public Health Agency of Canada,,10628,110 st,T0H1L0,fairview,ab,10628 - 110 st. fairview ab t0h 1l0,Fairview,4819068,48,56.0709656,-118.3845521,POINT (-118.3845521 56.0709656)
128,father lacombe care society father lacombe care centre,long term care,Nursing and residential care facilities,Canadian Institute for Health Information,,,,T2X2A3,calgary,ab,,Calgary,,48,,,
129,father lacombe care society providence care centre,long term care,Nursing and residential care facilities,Canadian Institute for Health Information,,,,T2X0X2,calgary,ab,,Calgary,,48,,,
130,foothills medical centre,general,Hospitals,Public Health Agency of Canada,,1403,29 st nw,T2N2T9,calgary,ab,1403 - 29th st. n.w. calgary ab t2n 2t9,Calgary,4806016,48,51.0642833,-114.1339478,POINT (-114.1339478 51.0642833)
131,fort macleod health centre,general,Hospitals,Public Health Agency of Canada,,744,26 st s,T0L0Z0,fort macleod,ab,"744 - 26th st., s. fort macleod ab t0l 0z0",Fort Macleod,4803019,48,49.726332,-113.3932472,POINT (-113.3932472 49.726332)
132,fort mcmurray community cancer centre,,Hospitals,Province of Alberta,,7,hospital street,T9H1P2,fort mcmurray,ab,"7 hospital street fort mcmurray, alberta t9h 1p2",Wood Buffalo,4816037,48,56.7176831,-111.3618006,POINT (-111.3618006 56.7176831)
133,fort saskatchewan community hospital,,Hospitals,Province of Alberta,,9401,86 avenue,T8L0C6,fort saskatchewan,ab,"9401 86 avenue, fort saskatchewan, alberta, t8l 0c6",Fort Saskatchewan,4811056,48,53.693159,-113.213229,POINT (-113.213229 53.693159)
134,fort saskatchewan health centre,general,Hospitals,Public Health Agency of Canada,,9430,95 st,T8L1R8,fort saskatchewan,ab,9430 - 95th st. fort saskatchewan ab t8l 1r8,Fort Saskatchewan,4811056,48,53.7033208,-113.2225242,POINT (-113.2225242 53.7033208)
135,foundation oral surgery,active acute hospital,Hospitals,Canadian Institute for Health Information,,,,T2R0H6,calgary,ab,,Calgary,,48,,,
136,fox creek health care centre,general,Hospitals,Public Health Agency of Canada,,600,third st,T0H1P0,fox creek,ab,600 third st. fox creek ab t0h 1p0,Fox Creek,4818002,48,54.4046429,-116.801403,POINT (-116.801403 54.4046429)
137,galahad care centre,long term care,Nursing and residential care facilities,Canadian Institute for Health Information,,,,T0B1R0,galahad,ab,,,,48,,,
138,george mcdougall - smoky lake healthcare centre,,Ambulatory health care services,Province of Alberta,,4212,55 avenue,T0A3C0,smoky lake,ab,"4212 - 55 avenue, smoky lake, alberta, t0a 3c0",Smoky Lake,4812029,48,54.12128065,-112.4652356,POINT (-112.4652356 54.12128065)
139,gimbel eye centre - calgary,active acute hospital,Hospitals,Canadian Institute for Health Information,,,,T3A2N1,calgary,ab,,Calgary,,48,,,
140,gimbel eye surgical centre - edmonton,active acute hospital,Hospitals,Canadian Institute for Health Information,,,,T5G0E5,edmonton,ab,,Edmonton,,48,,,
141,glenrose rehabilitation hospital,rehabilitation,Nursing and residential care facilities,Public Health Agency of Canada,,10230,111 ave,T5G0B7,edmonton,ab,10230 - 111th ave. edmonton ab t5g 0b7,Edmonton,4811061,48,53.5601013,-113.4976534,POINT (-113.4976534 53.5601013)
142,grande cache community health complex,general,Hospitals,Public Health Agency of Canada,,10200,shand ave,T0E0Y0,grande cache,ab,10200 shand ave. grande cache ab t0e 0y0,Grande Cache,4818005,48,53.8915173,-119.1192184,POINT (-119.1192184 53.8915173)
143,grande prairie cancer centre,,Hospitals,Province of Alberta,,,10409-98 street,T8V2E8,grande prairie,ab,"10409-98 street, grande prairie, alberta, t8v 2e8",Grande Prairie,4819012,48,55.175391,-118.788449,POINT (-118.788449 55.175391)
144,grey nuns community hospital,general,Hospitals,Public Health Agency of Canada,,1100,youville dr w,T6L5X8,edmonton,ab,1100 youville dr. w. edmonton ab t6l 5x8,Edmonton,4811061,48,53.4615831,-113.4297243,POINT (-113.4297243 53.4615831)
145,grimshaw / berwyn and district community health centre,,Ambulatory health care services,Province of Alberta,,5621,wilcox road,T0H1W0,grimshaw,ab,"5621 wilcox road, grimshaw, alberta, t0h 1w0",Grimshaw,4819074,48,56.190432,-117.627213,POINT (-117.627213 56.190432)
